,title,tmdb_id,year,budget,vote_count,vote_average,runtime,popularity,view_count,like_count,dislike_count,comment_count,film-noir,mystery,action,imax,sci-fi,romance,musical,comedy,war,crime,children,fantasy,horror,drama,western,adventure,animation,thriller,revenue,predicted,difference,percent_off
309,Dracula Untold,49017,2014,70000000.0,4530.0,6.3,92.0,28.014,16036183,64928,4131,8724,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,217124280.0,228591322,-11467042.0,5.0
257,The Monuments Men,152760,2014,70000000.0,2640.0,6.0,118.0,12.283,748867,3726,248,351,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,154984035.0,223598176,-68614141.0,44.0
498,The Great Wall,311324,2016,150000000.0,3538.0,5.9,103.0,37.150999999999996,17320336,46479,11316,13405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,331957105.0,272030677,59926428.0,18.0
621,Pet Sematary,157433,2019,21000000.0,2162.0,5.7,101.0,36.455,33045401,150963,8785,22562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,112399944.0,141286327,-28886383.0,26.0
472,The Edge of Seventeen,376660,2016,9000000.0,2916.0,7.1,105.0,19.352,4387840,34973,982,1101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18803648.0,59651891,-40848243.0,217.0
530,War for the Planet of the Apes,281338,2017,150000000.0,6316.0,7.1,140.0,42.56399999999999,35374669,155316,6443,12539,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,488533726.0,609417025,-120883299.0,25.0
351,Captain Marvel,299537,2018,152000000.0,10164.0,7.0,124.0,113.666,127657862,2273367,202421,284955,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1128276090.0,1193660782,-65384692.0,6.0
190,Oblivion,75612,2013,120000000.0,8077.0,6.6,124.0,30.433000000000003,9466672,28124,1277,5024,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,286168572.0,484057431,-197888859.0,69.0
126,The Raid,94329,2011,1100000.0,2125.0,7.4,101.0,24.875,3388952,13248,488,1167,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4105187.0,42447426,-38342239.0,934.0
40,Tangled,38757,2010,260000000.0,8021.0,7.6,100.0,34.869,12144442,19184,3184,645,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,592461732.0,804777382,-212315650.0,36.0
38,Black Swan,44214,2010,13000000.0,10336.0,7.6,108.0,28.858,29765641,67410,2741,14742,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,329398046.0,184974730,144423316.0,44.0
