tmdb_id,weekday_released,month_released,day_released,year_released
346364,Friday,9,8,2017
378236,Sunday,7,23,2017
395834,Friday,8,4,2017
390043,Friday,8,18,2017
343668,Friday,9,22,2017
335984,Friday,10,6,2017
381283,Friday,9,15,2017
337170,Friday,9,29,2017
440021,Friday,10,13,2017
274855,Friday,10,20,2017
298250,Friday,10,27,2017
359940,Friday,12,1,2017
391713,Friday,12,1,2017
399057,Friday,11,3,2017
392044,Friday,11,10,2017
354912,Wednesday,11,22,2017
389015,Friday,1,19,2018
353486,Wednesday,12,20,2017
399404,Wednesday,11,22,2017
181808,Friday,12,15,2017
301337,Friday,12,22,2017
399055,Friday,12,22,2017
396371,Friday,1,5,2018
406997,Friday,11,17,2017
371638,Friday,12,8,2017
446354,Friday,1,12,2018
316029,Wednesday,12,20,2017
400617,Friday,1,19,2018
300668,Friday,2,23,2018
399035,Friday,1,12,2018
401981,Friday,3,2,2018
337167,Friday,2,9,2018
445571,Friday,2,23,2018
336843,Friday,1,26,2018
493922,Friday,6,8,2018
399174,Friday,3,23,2018
338970,Friday,3,16,2018
449176,Friday,3,16,2018
447332,Friday,4,6,2018
419478,Friday,3,23,2018
268896,Friday,3,23,2018
460019,Friday,4,13,2018
427641,Friday,4,13,2018
351286,Friday,6,22,2018
260513,Friday,6,15,2018
383498,Friday,5,18,2018
348350,Friday,5,25,2018
363088,Friday,7,6,2018
442249,Wednesday,7,4,2018
400155,Friday,7,13,2018
447200,Friday,7,13,2018
345887,Friday,7,20,2018
458423,Friday,7,20,2018
500664,Friday,6,1,2018
353081,Friday,7,27,2018
402900,Friday,6,8,2018
487558,Friday,8,10,2018
489999,Friday,8,24,2018
484247,Friday,9,14,2018
346910,Friday,9,14,2018
439079,Friday,9,7,2018
446021,Friday,10,12,2018
455207,Wednesday,8,15,2018
345940,Friday,8,10,2018
369972,Friday,10,12,2018
332562,Friday,10,5,2018
335983,Friday,10,5,2018
424694,Friday,11,2,2018
360920,Friday,11,9,2018
480530,Wednesday,11,21,2018
424139,Friday,10,19,2018
404368,Wednesday,11,21,2018
490132,Wednesday,11,21,2018
324857,Friday,12,14,2018
400650,Wednesday,12,19,2018
424783,Friday,12,21,2018
429197,Tuesday,12,25,2018
428078,Friday,12,14,2018
504172,Friday,12,14,2018
166428,Friday,2,22,2019
450465,Friday,1,18,2019
399579,Friday,10,30,2020
522681,Friday,1,4,2019
458723,Friday,3,22,2019
157433,Friday,4,5,2019
537915,Friday,4,12,2019
329996,Friday,3,29,2019
504608,Friday,5,31,2019
420817,Friday,5,24,2019
458156,Friday,5,17,2019
373571,Friday,5,31,2019
320288,Friday,6,7,2019
447404,Friday,5,10,2019
479455,Friday,6,14,2019
301528,Friday,6,21,2019
530385,Wednesday,7,3,2019
429617,Tuesday,7,2,2019
515195,Friday,6,28,2019
466272,Friday,7,26,2019
496243,Friday,11,1,2019
420818,Friday,7,19,2019
359724,Friday,11,15,2019
384018,Friday,8,2,2019
522938,Friday,9,20,2019
419704,Friday,9,20,2019
474350,Friday,9,6,2019
475557,Friday,10,4,2019
567609,Wednesday,8,21,2019
338967,Friday,10,18,2019
515001,Friday,11,8,2019
453405,Friday,10,11,2019
492188,,0,0,0
420809,Friday,10,18,2019
398978,,0,0,0
330457,Friday,11,22,2019
546554,Wednesday,11,27,2019
501170,Friday,11,8,2019
290859,Friday,11,1,2019
